step,a,b,c,d,x,y,z,value
0,6,0,0,0,6.0,6.0,6.0,17.0
1,5,1,0,0,4.0,6.0,4.0,9.0
2,4,1,0,1,4.0,4.0,2.0,4.0
3,3,1,0,2,4.0,2.0,0.0,1.0
4,2,1,0,3,4.0,0.0,-2.0,0.0
